dt_ymd,city_id,order_cnt_sum,order_infos_cnt_sum
20160701,1201,457,591
20160728,3302,14,14
20160811,1401,45,47
20160826,4101,31,31
20160929,2201,153,169
20161001,3201,484,530
20161104,1301,37,44
20161115,3701,152,154
20161126,6101,95,107
20161210,1201,737,890
20161229,4201,229,247
20170124,1301,35,35
20170201,3205,6,7
20170225,3703,2,2
20170308,3301,3215,3790
20170311,5101,3069,3286
20170312,2102,71,87
20170407,1101,35092,36355
20170414,3201,891,982
20170421,5301,5,5
20170517,1301,16,16
20170520,3101,10460,11080
20170528,3701,270,271
20170618,3703,1,1
20170623,1201,952,1169
20170630,3301,3152,3421
20170704,5101,5076,5240
20170705,2102,109,119
20170807,3201,870,907
20170810,5001,1036,1045
20170814,5301,46,46
20170913,3101,17123,17418
20170917,3401,103,106
20170928,4105,10,10
20171026,1301,63,63
20171103,3205,62,63
20171127,3703,4,4
20171213,5101,14407,14543
20171214,2102,442,466
20180107,3307,64,64
20180119,4404,8,8
20180123,3205,341,347
20180125,4415,48,48
20180127,3505,36,36
20180127,5201,29,29
20180209,4406,103,104
20180215,4417,6,6
20180217,5203,1,1
20180225,4304,709,709
20180305,4419,62,64
20180315,4306,305,333
20180327,3707,14,14
20180329,1101,52656,54953
20180402,4401,2133,2232
20180410,3502,438,438
20180413,5105,1,1
20180417,3709,31,31
20180418,4102,8,8
20180424,4113,328,333
20180426,3203,83,87
20180428,4413,371,381
20180501,2201,165,165
20180503,5107,4,4
20180508,4104,64,64
20180510,420607,321,341
20180512,4601,750,750
20180514,4115,194,195
20180516,3205,682,708
20180518,4415,274,274
20180520,3702,238,239
20180523,3609,101,101
20180528,4302,104,104
20180531,4406,191,191
20180601,4210,305,331
20180604,4117,93,93
20180606,3207,293,293
20180608,4417,577,577
20180610,3704,54,54
20180613,3611,268,273
20180618,4304,935,960
20180619,1305,381,381
20180619,522401,15,15
20180621,4408,259,259
20180621,6104,341,341
20180626,3405,247,251
20180626,5101,11630,11793
20180627,2102,737,761
20180704,2310,216,216
20180708,4306,443,486
20180709,1307,52,52
20180717,2104,4,4
20180722,5114,28,28
20150213,3101,420,420
20150323,3301,110,110
20150422,1101,1936,2042
20150606,3101,550,562
20150709,1201,75,89
20150716,3301,804,835
20150815,1101,10913,11505
20150822,3201,649,738
20150925,1301,2,2
20151009,3201,617,760
20151012,5001,798,851
20151115,3101,3337,3541
20151218,1201,517,750
20151225,3301,2089,2532
20160103,3502,5,5
20160201,4301,43,44
20160202,1302,8,8
20160209,3205,16,19
20160213,3702,13,13
20160311,4501,52,52
20160319,5101,1702,1905
20160320,4419,17,23
20160410,2301,104,104
20160425,5001,590,632
20160528,3101,4967,5282
20160531,3205,74,82
20160606,3702,14,14
20160704,4501,49,49
20160713,4419,17,17
20160803,2301,83,83
20160810,4401,402,412
20160818,5001,811,896
20160924,3205,38,44
20161001,3202,42,44
20161004,6501,32,33
20161005,3502,13,13
20161103,4301,49,52
20161104,1302,3,3
20161115,3702,2,2
20161202,2101,99,100
20161213,4501,134,137
20161222,4419,31,44
20170107,4403,983,1121
20170116,2201,113,115
20170123,4301,31,31
20170124,1302,3,3
20170222,2101,123,123
20170308,3302,55,55
20170406,4101,19,19
20170414,3202,27,27
20170417,6501,62,63
20170418,3502,27,27
20170509,2201,102,108
20170516,4301,24,24
20170517,1302,2,2
20170528,3702,12,12
20170615,2101,134,134
20170622,4201,322,325
20170626,4501,458,471
20170630,3302,14,14
20170725,2301,177,177
20170807,3202,22,22
20170822,4403,2280,2444
20170831,2201,102,102
20170901,3701,453,457
20170909,4301,54,54
20170912,6101,278,300
20171009,4403,1915,1978
20171018,2201,77,78
20171124,2101,112,112
20180104,3401,130,137
20180108,3701,403,410
20180115,4105,59,59
20180119,4405,23,23
20180119,6101,339,388
20180123,3206,4,4
20180125,4416,44,44
20180127,3506,62,62
20180203,1201,1478,1638
20180209,4407,8,8
20180210,3301,2710,3059
20180214,3601,122,122
20180215,4418,18,18
20180303,3210,24,24
20180304,4451,176,176
20180305,4420,14,14
20180305,6540,83,83
20180313,1401,194,194
20180315,4307,183,183
20180320,3501,205,205
20180327,3708,73,73
20180328,4101,504,562
20180331,4205,133,137
20180406,1310,36,36
20180410,3503,268,285
20180417,3710,4,4
20180418,4103,634,668
20180424,4114,113,113
20180426,3204,602,621
20180428,4414,404,404
20180430,3701,320,320
20180501,2202,42,42
20180503,3412,128,128
20180508,4105,151,156
20180511,4209,123,142
20180514,4116,719,719
20180515,4509,1,1
20180516,3206,456,456
20180518,4416,550,550
20180520,3703,477,502
20180523,5306,1,1
20180528,4303,2,2
20180529,1304,307,307
20180531,4407,216,222
20180531,6103,112,112
20180601,4211,130,130
20180603,3301,3851,4128
20180606,3208,222,222
20180607,3601,448,448
20180608,4418,1037,1039
20180610,3705,36,36
20180618,4305,347,347
20180619,1306,430,461
20180621,4409,613,616
20180621,6105,44,44
20180622,1410,167,167
20180627,2103,243,243
20180702,1101,67675,70676
20180706,1401,401,401
20180708,4307,756,775
20180709,1308,189,189
20180713,3501,433,488
20180716,3408,301,315
20180717,2105,83,83
20180722,5115,187,187
20180724,4205,18,20
20140727,5101,1,1
20141102,4403,1,1
20150122,4403,25,25
20150425,4401,152,152
20150515,4403,296,364
20150708,4201,142,153
20150814,4101,2,2
20150818,4401,722,732
20150908,4403,1592,1779
20150924,4301,34,34
20151009,3202,1,1
20151024,4403,2501,2718
20151103,3701,39,40
20151114,6101,186,210
20151217,4201,438,529
20151225,3302,10,10
20160112,1301,11,11
20160123,3701,68,70
20160402,3201,729,807
20160505,1301,18,21
20160516,3701,80,81
20160527,6101,132,159
20160606,3703,4,4
20160611,1201,257,297
20160721,1401,50,51
20160802,5301,7,7
20160901,3101,6706,6897
20160909,3701,277,291
20161014,1301,26,30
20161025,3701,188,197
20161120,1201,632,761
20161201,5101,2554,2679
20161202,2102,46,47
20161230,1401,214,220
20170108,3101,5214,5392
20170111,3205,47,49
20170218,3301,1295,1480
20170221,5101,2891,3069
20170222,2102,52,65
20170317,1101,34065,35268
20170324,3201,995,1118
20170331,5301,7,7
20170427,1301,24,24
20170430,3101,4979,5117
20170504,3205,43,48
20170528,3703,6,6
20170614,5101,5042,5232
20170615,2102,116,131
20170717,3201,983,1022
20170720,5001,1223,1245
20170724,5301,28,28
20170810,3307,6,6
20170823,3101,15541,15952
20170827,3401,94,105
20170901,3702,25,25
20170920,5203,3,3
20170926,1201,1245,1378
20171013,3205,62,63
20171107,5203,1,1
20171123,5101,12561,12714
20171124,2102,378,411
20171219,1101,66157,68261
20171226,3201,1008,1048
20180104,3402,8,8
20180108,3702,12,12
20180119,4406,94,94
