,dt_ymd,city_id,_c2
31185,20170907,4501.0,710
31186,20170907,5101.0,6735
31187,20170923,3303.0,63
31188,20170925,1201.0,1150
31189,20170925,4201.0,821
31190,20171003,3703.0,3
31191,20171005,2201.0,60
31192,20171005,3401.0,62
31193,20171007,4419.0,26
31194,20171013,1302.0,5
31195,20171013,3702.0,9
31196,20171018,3307.0,6
31197,20171021,5203.0,3
31198,20171023,1301.0,45
31199,20171023,3101.0,17873
31200,20171023,3701.0,418
31201,20171023,4301.0,50
31202,20171023,6101.0,274
31203,20171102,3703.0,2
31204,20171104,2201.0,71
31205,20171104,3401.0,149
31206,20171106,4419.0,19
31207,20171112,1302.0,1
31208,20171112,3702.0,3
31209,20171113,5111.0,8
31210,20171117,3307.0,43
31211,20171120,5203.0,1
31212,20171122,1301.0,33
31213,20171122,3101.0,24206
31214,20171122,3701.0,515
31215,20171122,4301.0,69
31216,20171122,6101.0,411
31217,20171129,3604.0,12
31218,20171201,3703.0,10
31219,20171203,2201.0,40
31220,20171203,3401.0,100
31221,20171205,4419.0,49
31222,20171211,1302.0,1
31223,20171211,3702.0,19
31224,20171216,3307.0,37
31225,20171221,1301.0,50
31226,20171221,3101.0,23944
31227,20171221,3701.0,499
31228,20171221,4301.0,124
31229,20171221,6101.0,530
31230,20171228,3604.0,23
31231,20171229,4413.0,88
31232,20171231,4420.0,1
31233,20180101,4304.0,69
31234,20180103,3402.0,14
31235,20180105,4420.0,0
31236,20180108,420607.0,88
31237,20180109,4416.0,17
31238,20180111,3703.0,4
31239,20180113,2201.0,46
31240,20180113,3401.0,265
31241,20180113,4601.0,31
31242,20180113,5201.0,0
31243,20180115,4419.0,60
31244,20180119,4415.0,8
31245,20180120,4453.0,5
31246,20180121,1302.0,2
31247,20180121,3702.0,57
31248,20180122,5111.0,6
31249,20180125,4418.0,21
31250,20180126,3307.0,76
31251,20180128,4205.0,22
31252,20180129,4414.0,52
31253,20180130,4452.0,72
31254,20180131,1301.0,41
31255,20180131,3101.0,22057
31256,20180131,3701.0,416
31257,20180131,4301.0,142
31258,20180131,6101.0,423
31259,20180201,5113.0,74
31260,20180202,3402.0,160
31261,20180203,4451.0,119
31262,20180204,4420.0,11
31263,20180207,420607.0,200
31264,20180208,4416.0,79
31265,20180209,5105.0,1
31266,20180210,3703.0,5
31267,20180212,2201.0,66
31268,20180212,3401.0,234
31269,20180212,4601.0,208
31270,20180212,5201.0,39
31271,20180214,4419.0,129
31272,20180218,4415.0,69
31273,20180219,3304.0,1
31274,20180220,1302.0,1
31275,20180220,3702.0,5
31276,20180221,5111.0,79
31277,20180224,4418.0,15
31278,20180225,3307.0,25
31279,20180227,4205.0,80
31280,20180228,4414.0,88
31281,20180301,3402.0,245
31282,20180302,4451.0,151
31283,20180303,4420.0,15
31284,20180306,420607.0,210
31285,20180307,4416.0,220
31286,20180308,5105.0,4
31287,20180311,2201.0,32
31288,20180311,3401.0,274
31289,20180311,4601.0,250
31290,20180311,5201.0,65
31291,20180313,4419.0,105
31292,20180317,4415.0,221
31293,20180318,3304.0,21
31294,20180319,4113.0,226
31295,20180320,5111.0,43
31296,20180322,4209.0,1
31297,20180323,4418.0,97
31298,20180324,3307.0,32
31299,20180325,4116.0,14
31300,20180326,4205.0,79
31301,20180327,4414.0,344
31302,20180328,3303.0,316
31303,20180328,4503.0,65
31304,20180330,3310.0,181
31305,20180401,4451.0,284
31306,20180402,4420.0,29
31307,20180405,3607.0,100
31308,20180405,420607.0,353
31309,20180406,4416.0,510
31310,20180407,5105.0,4
31311,20180408,4114.0,21
31312,20180410,2201.0,144
31313,20180410,3401.0,409
31314,20180410,4601.0,392
31315,20180410,5201.0,169
31316,20180410,6401.0,140
31317,20180411,4210.0,78
31318,20180412,4419.0,119
31319,20180416,4415.0,250
31320,20180418,4113.0,327
31321,20180421,4209.0,19
31322,20180422,4418.0,322
31323,20180423,3307.0,40
31324,20180424,4116.0,195
31325,20180425,4205.0,269
31326,20180426,4414.0,607
31327,20180427,2103.0,18
31328,20180427,3303.0,367
31329,20180427,4503.0,138
31330,20180429,1201.0,1424
31331,20180429,3601.0,566
31332,20180429,4201.0,623
31333,20180501,4420.0,51
31334,20180504,3607.0,258
31335,20180504,420607.0,465
31336,20180505,4416.0,854
31337,20180506,5105.0,3
31338,20180507,4114.0,119
31339,20180509,3212.0,427
31340,20180509,4412.0,83
31341,20180510,4210.0,209
31342,20180511,4419.0,294
31343,20180513,4117.0,263
31344,20180515,4415.0,259
31345,20180516,1504.0,128
31346,20180516,3304.0,3
31347,20180517,4113.0,434
31348,20180519,3211.0,225
31349,20180520,3609.0,121
31350,20180520,4209.0,493
31351,20180521,4418.0,221
31352,20180522,3307.0,16
31353,20180522,5107.0,68
31354,20180523,4116.0,440
31355,20180524,4205.0,283
31356,20180525,4414.0,576
31357,20180526,2103.0,165
31358,20180526,3303.0,421
31359,20180526,4503.0,386
31360,20180527,2312.0,4
31361,20180528,1201.0,1538
31362,20180528,3601.0,363
31363,20180528,4201.0,603
31364,20180529,1410.0,2
31365,20180529,3210.0,216
31366,20180530,3608.0,1
31367,20180531,4417.0,480
31368,20180601,4509.0,33
31369,20180601,5109.0,96
31370,20180603,3607.0,337
31371,20180603,420607.0,359
31372,20180604,4416.0,551
31373,20180605,3305.0,1
31374,20180605,5105.0,2
31375,20180606,4114.0,291
31376,20180607,4203.0,10
31377,20180608,3212.0,606
31378,20180608,4412.0,81
31379,20180609,1501.0,114
31380,20180609,2101.0,306
31381,20180609,3301.0,5284
31382,20180609,4501.0,1779
31383,20180609,5101.0,9567
31384,20180609,6301.0,79
31385,20180609,320581.0,176
31386,20180610,4419.0,231
31387,20180611,2108.0,4
31388,20180611,3308.0,34
31389,20180612,4117.0,172
31390,20180614,4415.0,391
31391,20180615,1504.0,641
31392,20180615,3304.0,11
31393,20180615,4504.0,1
31394,20180616,4113.0,735
31395,20180618,3211.0,206
31396,20180619,6540.0,160
31397,20180620,4418.0,475
31398,20180621,3307.0,17
31399,20180621,5107.0,179
31400,20180622,4116.0,506
31401,20180623,4205.0,474
31402,20180624,4414.0,761
31403,20180625,2103.0,202
31404,20180625,3303.0,423
31405,20180625,4503.0,288
31406,20180625,320583.0,1
31407,20180626,2312.0,99
31408,20180627,1201.0,1716
31409,20180627,3601.0,730
31410,20180627,4201.0,648
31411,20180627,522601.0,0
