cd_holiday_ymd.dt_ymd,cd_holiday_ymd.lunar_calendar,cd_holiday_ymd.is_holiday,cd_holiday_ymd.festival,cd_holiday_ymd.is_weekend
20180428,2018年三月十三,0,null,1
20180429,2018年三月十四,1,null,2
20180430,2018年三月十五,1,null,0
20180501,2018年三月十六,1,劳动节,0
20180502,2018年三月十七,0,null,0
20180503,2018年三月十八,0,null,0
20180504,2018年三月十九,0,青年节,0
20180505,2018年三月二十,1,立夏,1
20180506,2018年三月廿一,1,null,2
20180507,2018年三月廿二,0,null,0
20180508,2018年三月廿三,0,null,0
20180509,2018年三月廿四,0,null,0
20180510,2018年三月廿五,0,null,0
20180511,2018年三月廿六,0,null,0
20180512,2018年三月廿七,1,null,1
20180513,2018年三月廿八,1,母亲节,2
20180514,2018年三月廿九,0,null,0
20180515,2018年四月初一,0,null,0
20180516,2018年四月初二,0,null,0
20180517,2018年四月初三,0,null,0
20180518,2018年四月初四,0,null,0
20180519,2018年四月初五,1,519,1
20180520,2018年四月初六,1,520,2
20180521,2018年四月初七,0,521,0
20180522,2018年四月初八,0,null,0
20180523,2018年四月初九,0,null,0
20180524,2018年四月初十,0,null,0
20180525,2018年四月十一,0,null,0
20180526,2018年四月十二,1,null,1
20180527,2018年四月十三,1,null,2
20180528,2018年四月十四,0,null,0
20180529,2018年四月十五,0,null,0
20180530,2018年四月十六,0,null,0
20180531,2018年四月十七,0,无烟日,0
20180601,2018年四月十八,0,儿童节,0
20180602,2018年四月十九,1,null,1
20180603,2018年四月二十,1,null,2
20180604,2018年四月廿一,0,null,0
20180605,2018年四月廿二,0,null,0
20180606,2018年四月廿三,0,芒种,0
20180607,2018年四月廿四,0,null,0
20180608,2018年四月廿五,0,null,0
20180609,2018年四月廿六,1,null,1
20180610,2018年四月廿七,1,null,2
20180611,2018年四月廿八,0,null,0
20180612,2018年四月廿九,0,null,0
20180613,2018年四月三十,0,null,0
20180614,2018年五月初一,0,null,0
20180615,2018年五月初二,0,null,0
20180616,2018年五月初三,1,null,1
20180617,2018年五月初四,1,父亲节,2
20180618,2018年五月初五,1,618,0
20180619,2018年五月初六,0,null,0
20180620,2018年五月初七,0,null,0
20180621,2018年五月初八,0,夏至,0
20180622,2018年五月初九,0,null,0
20180623,2018年五月初十,1,null,1
20180624,2018年五月十一,1,null,2
20180625,2018年五月十二,0,null,0
20180626,2018年五月十三,0,null,0
20180627,2018年五月十四,0,null,0
20180628,2018年五月十五,0,null,0
20180629,2018年五月十六,0,null,0
20180630,2018年五月十七,1,null,1
20180701,2018年五月十八,1,建党日,2
20180702,2018年五月十九,0,null,0
20180703,2018年五月二十,0,null,0
20180704,2018年五月廿一,0,null,0
20180705,2018年五月廿二,0,null,0
20180706,2018年五月廿三,0,接吻日,0
20180707,2018年五月廿四,1,小暑,1
20180708,2018年五月廿五,1,null,2
20180709,2018年五月廿六,0,null,0
20180710,2018年五月廿七,0,null,0
20180711,2018年五月廿八,0,null,0
20180712,2018年五月廿九,0,null,0
20180713,2018年六月初一,0,null,0
20180714,2018年六月初二,1,null,1
20180715,2018年六月初三,1,null,2
20180716,2018年六月初四,0,null,0
20180717,2018年六月初五,0,null,0
20180718,2018年六月初六,0,null,0
20180719,2018年六月初七,0,null,0
20180720,2018年六月初八,0,null,0
20180721,2018年六月初九,1,null,1
20180722,2018年六月初十,1,null,2
20180723,2018年六月十一,0,大暑,0
20180724,2018年六月十二,0,null,0
20180725,2018年六月十三,0,null,0
20180726,2018年六月十四,0,null,0
20180727,2018年六月十五,0,null,0
20180728,2018年六月十六,1,null,1
20180729,2018年六月十七,1,null,2
20180730,2018年六月十八,0,null,0
20180731,2018年六月十九,0,null,0
20180801,2018年六月二十,0,建军节,0
20180802,2018年六月廿一,0,null,0
20180803,2018年六月廿二,0,null,0
20180804,2018年六月廿三,1,null,1
20180805,2018年六月廿四,1,null,2
20180806,2018年六月廿五,0,null,0
20180807,2018年六月廿六,0,立秋,0
20180808,2018年六月廿七,0,null,0
20180809,2018年六月廿八,0,null,0
20180810,2018年六月廿九,0,null,0
20180811,2018年七月初一,1,null,1
20180812,2018年七月初二,1,null,2
20180813,2018年七月初三,0,null,0
20180814,2018年七月初四,0,null,0
20180815,2018年七月初五,0,null,0
20180816,2018年七月初六,0,null,0
20180817,2018年七月初七,0,七夕节,0
20180818,2018年七月初八,1,null,1
20180819,2018年七月初九,1,null,2
20180820,2018年七月初十,0,null,0
20180821,2018年七月十一,0,null,0
20180822,2018年七月十二,0,null,0
20180823,2018年七月十三,0,处暑,0
20180824,2018年七月十四,0,null,0
20180825,2018年七月十五,1,null,1
20180826,2018年七月十六,1,null,2
20180827,2018年七月十七,0,null,0
20180828,2018年七月十八,0,null,0
20180829,2018年七月十九,0,null,0
20180830,2018年七月二十,0,null,0
20180831,2018年七月廿一,0,null,0
20180901,2018年七月廿二,1,null,1
20180902,2018年七月廿三,1,null,2
20180903,2018年七月廿四,0,null,0
20180904,2018年七月廿五,0,null,0
20180905,2018年七月廿六,0,null,0
20180906,2018年七月廿七,0,null,0
20180907,2018年七月廿八,0,null,0
20180908,2018年七月廿九,1,白露,1
20180909,2018年七月三十,1,null,2
20180910,2018年八月初一,0,教师节,0
20180911,2018年八月初二,0,null,0
20180912,2018年八月初三,0,null,0
20180913,2018年八月初四,0,null,0
20180914,2018年八月初五,0,null,0
20180915,2018年八月初六,1,null,1
20180916,2018年八月初七,1,null,2
20180917,2018年八月初八,0,null,0
20180918,2018年八月初九,0,null,0
20180919,2018年八月初十,0,null,0
20180920,2018年八月十一,0,null,0
20180921,2018年八月十二,0,null,0
20180922,2018年八月十三,1,null,1
20180923,2018年八月十四,1,秋分,2
20180924,2018年八月十五,1,中秋节,0
20180925,2018年八月十六,0,null,0
20180926,2018年八月十七,0,null,0
20180927,2018年八月十八,0,null,0
20180928,2018年八月十九,0,null,0
20180929,2018年八月二十,0,null,1
20180930,2018年八月廿一,0,null,2
20181001,2018年八月廿二,1,国庆节,0
20181002,2018年八月廿三,1,null,0
20181003,2018年八月廿四,1,null,0
20181004,2018年八月廿五,1,null,0
20181005,2018年八月廿六,1,null,0
20181006,2018年八月廿七,1,null,1
20181007,2018年八月廿八,1,null,2
20181008,2018年八月廿九,0,寒露,0
20181009,2018年九月初一,0,null,0
20181010,2018年九月初二,0,null,0
20181011,2018年九月初三,0,null,0
20181012,2018年九月初四,0,null,0
20181013,2018年九月初五,1,null,1
20181014,2018年九月初六,1,null,2
20181015,2018年九月初七,0,null,0
20181016,2018年九月初八,0,null,0
20181017,2018年九月初九,0,重阳节,0
20181018,2018年九月初十,0,null,0
20181019,2018年九月十一,0,null,0
20181020,2018年九月十二,1,null,1
20181021,2018年九月十三,1,null,2
20181022,2018年九月十四,0,null,0
20181023,2018年九月十五,0,霜降,0
20181024,2018年九月十六,0,null,0
20181025,2018年九月十七,0,null,0
20181026,2018年九月十八,0,null,0
20181027,2018年九月十九,1,null,1
20181028,2018年九月二十,1,null,2
20181029,2018年九月廿一,0,null,0
20181030,2018年九月廿二,0,null,0
20181031,2018年九月廿三,0,万圣节,0
20181101,2018年九月廿四,0,null,0
20181102,2018年九月廿五,0,null,0
20181103,2018年九月廿六,1,null,1
20181104,2018年九月廿七,1,null,2
20181105,2018年九月廿八,0,null,0
20181106,2018年九月廿九,0,null,0
20181107,2018年九月三十,0,立冬,0
20181108,2018年十月初一,0,null,0
20181109,2018年十月初二,0,null,0
20181110,2018年十月初三,1,null,1
20181111,2018年十月初四,1,双十一,2
20181112,2018年十月初五,0,null,0
20181113,2018年十月初六,0,null,0
20181114,2018年十月初七,0,null,0
20181115,2018年十月初八,0,null,0
20181116,2018年十月初九,0,null,0
20181117,2018年十月初十,1,null,1
20181118,2018年十月十一,1,null,2
20181119,2018年十月十二,0,null,0
20181120,2018年十月十三,0,null,0
20181121,2018年十月十四,0,null,0
20181122,2018年十月十五,0,小雪,0
20181123,2018年十月十六,0,null,0
20181124,2018年十月十七,1,null,1
20181125,2018年十月十八,1,null,2
20181126,2018年十月十九,0,感恩节,0
20181127,2018年十月二十,0,null,0
20181128,2018年十月廿一,0,null,0
20181129,2018年十月廿二,0,null,0
20181130,2018年十月廿三,0,null,0
20181201,2018年十月廿四,1,null,1
20181202,2018年十月廿五,1,null,2
20181203,2018年十月廿六,0,null,0
20181204,2018年十月廿七,0,null,0
20181205,2018年十月廿八,0,null,0
20181206,2018年十月廿九,0,null,0
20181207,2018年十一月初一,0,大雪,0
20181208,2018年十一月初二,1,null,1
20181209,2018年十一月初三,1,null,2
20181210,2018年十一月初四,0,null,0
20181211,2018年十一月初五,0,null,0
20181212,2018年十一月初六,0,双十二,0
20181213,2018年十一月初七,0,null,0
20181214,2018年十一月初八,0,null,0
20181215,2018年十一月初九,1,null,1
