dt_ymd,city_id,_c2
20150503,5101,181
20150503,3205,1
20150503,3301,203
20150503,1201,8
20150503,4403,142
20150504,1201,11
20150504,4201,3
20150504,1101,1880
20150504,3101,380
20150504,5101,253
20150504,3205,3
20150504,3201,4
20150504,3301,229
20150504,4403,178
20150504,4401,76
20150505,3301,255
20150505,5101,266
20150505,3101,447
20150505,3205,3
20150505,4201,9
20150505,1101,2088
20150505,4403,163
20150505,4401,64
20150505,1201,22
20150505,3201,6
20150506,3205,2
20150506,4403,249
20150506,4401,106
20150506,3201,7
20150506,5101,260
20150506,4201,12
20150506,1101,2361
20150506,1201,35
20150506,3101,487
20150506,3301,251
20150507,3205,13
20150507,5101,332
20150507,4401,136
20150507,1101,2861
20150507,3101,677
20150507,4201,25
20150507,3201,11
20150507,4403,320
20150507,3301,307
20150507,1201,57
20150508,3205,13
20150508,3201,23
20150508,1201,75
20150508,3101,823
20150508,4401,167
20150508,4403,427
20150508,4201,16
20150508,1101,4629
20150508,5101,412
20150508,3301,424
20150509,5101,625
20150509,3301,735
20150509,1201,67
20150509,3201,31
20150509,3205,29
20150509,1101,7050
20150509,4201,51
20150509,4401,232
20150509,4403,575
20150509,3101,1202
20150510,4403,606
20150510,1201,223
20150510,3301,970
20150510,3205,13
20150510,4201,54
20150510,3101,1286
20150510,1101,5315
20150510,5101,782
20150510,4401,304
20150510,3201,14
20150511,3201,17
20150511,3205,3
20150511,3101,624
20150511,4401,97
20150511,3301,326
20150511,4201,11
20150511,1101,3131
20150511,1201,68
20150511,5101,266
20150511,4403,312
20150512,3301,316
20150512,3101,581
20150512,3205,6
20150512,NULL,2
20150512,4403,324
20150512,4401,115
20150512,4201,22
20150512,1101,2517
20150512,1201,63
20150512,3201,15
20150512,5101,324
20150513,3205,6
20150513,3201,13
20150513,4403,224
20150513,4401,67
20150513,3301,304
20150513,3101,487
20150513,4201,20
20150513,1101,2250
20150513,1201,23
20150513,5101,280
20150514,4401,101
20150514,3301,295
20150514,1201,35
20150514,3201,11
20150514,3205,8
20150514,4403,254
20150514,5101,276
20150514,4201,21
20150514,1101,2660
20150514,3101,545
20150515,5101,375
20150515,1101,3123
20150515,4201,19
20150515,3101,727
20150515,3205,13
20150515,3201,17
20150515,4401,148
20150515,4403,350
20150515,3301,326
20150515,1201,49
20150516,5101,297
20150516,4201,20
20150516,4401,144
20150516,3205,9
20150516,4403,209
20150516,1101,2563
20150516,3301,337
20150516,1201,39
20150516,3201,17
20150516,3101,448
20150517,5101,313
20150517,4201,16
20150517,1101,2403
20150517,1201,39
20150517,3201,15
20150517,4401,102
20150517,4403,205
20150517,3205,5
20150517,3101,447
20150517,3301,266
20150518,4403,276
20150518,3301,357
20150518,1201,47
20150518,3201,25
20150518,1101,2598
20150518,4201,32
20150518,3101,628
20150518,3205,23
20150518,5101,281
20150518,4401,108
20150519,4201,66
20150519,1101,4440
20150519,5101,528
20150519,4403,570
20150519,3205,56
20150519,3201,27
20150519,3101,965
20150519,4401,215
20150519,1201,189
20150519,3301,640
20150520,3301,925
20150520,3101,1479
20150520,1201,257
20150520,1101,6213
20150520,4201,88
20150520,5101,994
20150520,3201,58
20150520,4401,378
20150520,3205,94
20150520,4403,630
20150521,4403,325
20150521,4201,37
20150521,1101,4297
20150521,3101,846
20150521,3201,22
20150521,4401,189
20150521,1201,82
20150521,3301,442
20150521,5101,535
20150521,3205,37
20150522,1201,56
20150522,5101,413
20150522,4403,263
20150522,3301,405
20150522,3101,745
20150522,1101,3424
20150522,4201,40
20150522,3205,26
20150522,3201,52
20150522,4401,152
20150523,4401,110
20150523,1101,2873
